structure_no,latitude,longitude,geometry,inside_shakemap,pga
33 0212L,37.689138888888884,-122.10513888888889,POINT (-122.10513888888889 37.689138888888884),True,0.0010374244302511215
33 0214L,37.69018611111111,-122.09334722222222,POINT (-122.09334722222222 37.69018611111111),True,0.0010374244302511215
33 0216,37.69098611111111,-122.129875,POINT (-122.129875 37.69098611111111),True,0.0012549000093713403
33 0216K,37.69062777777778,-122.12994444444443,POINT (-122.12994444444443 37.69062777777778),True,0.0012549000093713403
33 0217L,37.688672222222216,-122.11425,POINT (-122.11425 37.688672222222216),True,0.0012622138019651175
33 0217R,37.689119444444444,-122.11508888888888,POINT (-122.11508888888888 37.689119444444444),True,0.0012622138019651175
33 0221,37.68964444444444,-122.11879444444443,POINT (-122.11879444444443 37.68964444444444),True,0.0012622138019651175
33 0225L,37.70130833333334,-122.02090277777778,POINT (-122.02090277777778 37.70130833333334),True,0.0009640242205932736
33 0225R,37.70164722222223,-122.02101944444445,POINT (-122.02101944444445 37.70164722222223),True,0.0009640242205932736
33 0228L,37.697725,-122.04247222222222,POINT (-122.04247222222222 37.697725),True,0.0009396450477652252
33 0230L,37.696,-122.04434444444445,POINT (-122.04434444444445 37.696),True,0.0009396450477652252
33 0230R,37.69778888888889,-122.042975,POINT (-122.042975 37.69778888888889),True,0.0009396450477652252
33 0232K,37.692763888888884,-122.05972777777778,POINT (-122.05972777777778 37.692763888888884),True,0.0010518317576497793
33 0232L,37.693425,-122.05947499999999,POINT (-122.05947499999999 37.693425),True,0.0010518317576497793
33 0232R,37.693841666666664,-122.05920277777777,POINT (-122.05920277777777 37.693841666666664),True,0.0010518317576497793
33 0233L,37.69367222222222,-122.05663333333334,POINT (-122.05663333333334 37.69367222222222),True,0.0009396450477652252
33 0233R,37.694066666666664,-122.05629444444445,POINT (-122.05629444444445 37.694066666666664),True,0.0009396450477652252
33 0234,37.70198055555556,-122.03643888888888,POINT (-122.03643888888888 37.70198055555556),True,0.0009479373111389577
33 0235L,37.70200277777778,-122.03431388888889,POINT (-122.03431388888889 37.70200277777778),True,0.0009479373111389577
33 0235R,37.70220833333334,-122.03538611111111,POINT (-122.03538611111111 37.70220833333334),True,0.0009479373111389577
33 0236,37.631455555555554,-122.08480555555555,POINT (-122.08480555555555 37.631455555555554),True,0.0013207491720095277
33 0237,37.492200000000004,-121.94863333333333,POINT (-121.94863333333333 37.492200000000004),True,0.0015581987099722028
33 0239,37.692588888888885,-122.14022222222223,POINT (-122.14022222222223 37.692588888888885),True,0.0011944816214963794
33 0240,37.595505555555555,-122.05833055555556,POINT (-122.05833055555556 37.595505555555555),True,0.0012901374138891697
33 0242,37.45911944444445,-121.92384166666668,POINT (-121.92384166666668 37.45911944444445),True,0.0014386121183633804
33 0243,37.563063888888884,-122.03862777777778,POINT (-122.03862777777778 37.563063888888884),True,0.0014877158682793379
33 0245,37.60669166666667,-122.06632222222223,POINT (-122.06632222222223 37.60669166666667),True,0.0014196690171957016
33 0245K,37.60651111111111,-122.06688888888888,POINT (-122.06688888888888 37.60651111111111),True,0.0014196690171957016
33 0245S,37.606725000000004,-122.06619444444445,POINT (-122.06619444444445 37.606725000000004),True,0.0014196690171957016
33 0246,37.608725,-122.0677861111111,POINT (-122.0677861111111 37.608725),True,0.0014004976255819201
33 0246S,37.60891388888889,-122.06773055555556,POINT (-122.06773055555556 37.60891388888889),True,0.0014004976255819201
33 0250,37.58314722222222,-122.04976388888889,POINT (-122.04976388888889 37.58314722222222),True,0.001456339261494577
33 0251,37.612991666666666,-122.07080277777777,POINT (-122.07080277777777 37.612991666666666),True,0.0014004976255819201
33 0261L,37.53898888888889,-122.01757222222223,POINT (-122.01757222222223 37.53898888888889),True,0.0013772185193374753
33 0261R,37.53885555555556,-122.01746944444444,POINT (-122.01746944444444 37.53885555555556),True,0.0013772185193374753
33 0264,37.546175,-122.02305555555556,POINT (-122.02305555555556 37.546175),True,0.0015009657945483923
33 0267L,37.52949722222222,-122.00253055555555,POINT (-122.00253055555555 37.52949722222222),True,0.0013893709983676672
33 0267R,37.52938888888889,-122.0023361111111,POINT (-122.0023361111111 37.52938888888889),True,0.0013893709983676672
33 0268,37.507080555555554,-121.96767222222222,POINT (-121.96767222222222 37.507080555555554),True,0.001581133808940649
33 0272,37.53091111111111,-122.00397222222222,POINT (-122.00397222222222 37.53091111111111),True,0.0013893709983676672
33 0272K,37.530788888888885,-122.0046888888889,POINT (-122.0046888888889 37.530788888888885),True,0.0013893709983676672
33 0273,37.56754444444445,-122.04251944444444,POINT (-122.04251944444444 37.56754444444445),True,0.0014857096830382943
